Gold,Silver,Bronze,Total,Gender,Year
18,13,12,43,male,1900
647,566,481,1694,male,1904
20,11,11,42,male,1908
21,17,15,53,male,1912
23,21,20,64,male,1920
27,19,18,64,male,1924
11,12,12,35,male,1928
25,26,21,72,male,1932
17,17,8,42,male,1936
23,21,13,57,male,1948
30,16,10,56,male,1952
21,15,13,49,male,1956
20,17,12,49,male,1960
19,14,17,50,male,1964
22,18,23,63,male,1968
18,21,21,60,male,1972
25,23,17,65,male,1976
0,0,0,0,male,1980
42,28,19,89,male,1984
17,18,14,49,male,1988
16,18,15,49,male,1992
18,17,11,46,male,1996
15,13,13,41,male,2000
18,20,9,47,male,2004
13,12,17,42,male,2008
14,10,11,35,male,2012
13,15,17,45,male,2016
12,13,9,34,male,2020
1,0,1,2,male,1924
1,1,1,3,male,1928
4,1,0,5,male,1932
0,0,1,1,male,1936
1,3,0,4,male,1948
2,1,1,4,male,1952
1,1,1,3,male,1956
1,1,0,2,male,1960
1,1,2,4,male,1964
0,2,0,2,male,1968
0,0,0,0,male,1972
1,1,1,3,male,1976
5,1,1,7,male,1980
3,1,0,4,male,1984
1,1,0,2,male,1988
0,1,1,2,male,1992
2,1,0,3,male,1994
2,0,1,3,male,1998
5,7,6,18,male,2002
7,4,3,14,male,2006
6,6,7,19,male,2010
4,2,4,10,male,2014
3,5,0,8,male,2018
2,4,1,7,male,2022
0,0,0,0,male,1956
0,0,0,0,male,1906
0,0,0,0,male,2010
0,0,0,0,male,2014
0,0,0,0,male,2018
0,0,0,0,male,2012
0,0,0,0,male,2016
0,0,0,0,male,2020
1,0,1,2,female,1900
2,2,2,6,female,1904
0,0,0,0,female,1908
0,0,0,0,female,1912
3,3,4,10,female,1920
6,5,4,15,female,1924
5,4,3,12,female,1928
9,7,4,20,female,1932
3,2,3,8,female,1936
4,4,2,10,female,1948
2,1,3,6,female,1952
4,5,3,12,female,1956
5,3,1,9,female,1960
7,6,7,20,female,1964
12,8,10,30,female,1968
8,5,6,19,female,1972
2,6,5,13,female,1976
0,0,0,0,female,1980
20,22,8,50,female,1984
8,4,8,20,female,1988
9,9,14,32,female,1992
8,8,10,26,female,1996
9,4,11,24,female,2000
6,12,9,27,female,2004
9,18,14,41,female,2008
19,9,12,40,female,2012
19,15,14,48,female,2016
17,16,18,51,female,2020
0,1,0,1,female,1924
0,0,1,1,female,1928
0,0,1,1,female,1932
0,0,0,0,female,1936
1,1,0,2,female,1948
2,1,0,3,female,1952
1,1,0,2,female,1956
1,3,2,6,female,1960
0,1,1,2,female,1964
1,3,1,5,female,1968
3,1,3,7,female,1972
2,2,2,6,female,1976
0,3,1,4,female,1980
1,2,0,3,female,1984
1,0,2,3,female,1988
5,2,1,8,female,1992
4,3,1,8,female,1994
3,2,2,7,female,1998
4,2,3,9,female,2002
2,3,1,6,female,2006
2,4,3,9,female,2010
4,2,4,10,female,2014
3,2,3,8,female,2018
4,4,3,11,female,2022
0,0,0,0,female,1956
0,0,0,0,female,1906
0,0,0,0,female,2010
0,0,0,0,female,2014
0,0,0,0,female,2018
0,0,0,0,female,2012
0,0,0,0,female,2016
0,0,0,0,female,2020
